WT 10.5 x 25,7.36,10.4,0.38,6.53,0.535,1.04,25,80.3,10.7,3.3,2.93,12.5,3.82,1.3,0.57,1.89,4.44,0.64
WT 10.5 x 24,7.07,10.3,0.35,8.14,0.43,0.93,24,74.9,9.9,3.26,2.74,19.4,4.76,1.66,0.4,1.52,4.44,0.677
WT 10.5 x 22,6.49,10.3,0.35,6.5,0.45,0.95,22,71.1,9.68,3.31,2.98,10.3,3.18,1.26,0.383,1.4,4.49,0.624
WT 9 x 155.5,45.8,11.16,1.52,12.005,2.74,3.4375,155.5,383,46.5,2.89,2.93,398,66.2,2.95,87.2,339,4.42,0.875
WT 9 x 141.5,41.6,10.925,1.4,11.89,2.5,3.1875,141.5,337,41.5,2.85,2.8,352,59.2,2.91,66.5,251,4.36,0.873
WT 9 x 129,38,10.73,1.28,11.77,2.3,3,129,298,37,2.8,2.68,314,53.4,2.88,51.5,189,4.3,0.874
WT 9 x 117,34.4,10.53,1.16,11.65,2.11,2.75,117,260,32.6,2.75,2.55,279,47.9,2.85,39.4,140,4.23,0.875
WT 9 x 105.5,31.1,10.335,1.06,11.555,1.91,2.5625,105.5,229,29,2.72,2.44,246,42.7,2.82,29.4,102,4.19,0.873
WT 9 x 96,28.2,10.175,0.96,11.455,1.75,2.4375,96,202,25.8,2.68,2.34,220,38.4,2.79,22.4,75.7,4.14,0.875
WT 9 x 87.5,25.7,10,0.89,11.4,1.59,1.99,87.5,181,23.4,2.66,2.26,196,34.4,2.76,16.8,56.5,4.1,0.872
WT 9 x 79,23.2,9.86,0.81,11.3,1.44,1.84,79,160,20.8,2.63,2.17,174,30.7,2.74,12.5,41.2,4.06,0.872
WT 9 x 71.5,21,9.74,0.73,11.2,1.32,1.72,71.5,142,18.5,2.6,2.09,156,27.7,2.72,9.58,30.7,4.03,0.874
WT 9 x 65,19.1,9.63,0.67,11.2,1.2,1.6,65,127,16.7,2.58,2.02,139,24.9,2.7,7.23,22.8,3.99,0.873
WT 9 x 59.5,17.5,9.48,0.655,11.3,1.06,1.46,59.5,119,15.9,2.6,2.03,126,22.5,2.69,5.3,17.4,4.03,0.861
WT 9 x 53,15.6,9.37,0.59,11.2,0.94,1.34,53,104,14.1,2.59,1.97,110,19.7,2.66,3.73,12.1,4,0.859
WT 9 x 48.5,14.3,9.3,0.535,11.1,0.87,1.27,48.5,93.8,12.7,2.56,1.91,100,18,2.65,2.92,9.29,3.97,0.862
WT 9 x 43,12.7,9.2,0.48,11.1,0.77,1.17,43,82.4,11.2,2.55,1.86,87.6,15.8,2.63,2.04,6.42,3.94,0.86
WT 9 x 38,11.2,9.11,0.425,11,0.68,1.08,38,71.8,9.83,2.54,1.8,76.2,13.8,2.61,1.41,4.37,3.92,0.861
WT 9 x 35.5,10.4,9.23,0.495,7.64,0.81,1.21,35.5,78.2,11.2,2.74,2.26,30.1,7.89,1.7,1.74,3.96,3.72,0.751
WT 9 x 32.5,9.55,9.18,0.45,7.59,0.75,1.15,32.5,70.7,10.1,2.72,2.2,27.4,7.22,1.69,1.36,3.01,3.69,0.755
WT 9 x 30,8.82,9.12,0.415,7.56,0.695,1.1,30,64.7,9.29,2.71,2.16,25,6.63,1.68,1.08,2.35,3.67,0.756
WT 9 x 27.5,8.1,9.06,0.39,7.53,0.63,1.03,27.5,59.5,8.63,2.71,2.16,22.5,5.97,1.67,0.83,1.84,3.68,0.749
WT 9 x 25,7.33,8.99,0.355,7.5,0.57,0.972,25,53.5,7.79,2.7,2.12,20,5.35,1.65,0.619,1.36,3.66,0.749
WT 9 x 23,6.77,9.03,0.36,6.06,0.605,1.01,23,52.1,7.77,2.77,2.33,11.3,3.71,1.29,0.609,1.2,3.67,0.695
WT 9 x 20,5.88,8.95,0.315,6.02,0.525,0.927,20,44.8,6.73,2.76,2.29,9.55,3.17,1.27,0.404,0.788,3.65,0.691
WT 9 x 17.5,5.15,8.85,0.3,6,0.425,0.827,17.5,40.1,6.21,2.79,2.39,7.67,2.56,1.22,0.252,0.598,3.74,0.661
WT 8 x 50,14.9,8.48,0.585,10.4,0.985,1.69,50,76.8,11.4,2.27,1.75,93.1,17.9,2.5,4.09,10.4,3.6,0.878
WT 8 x 44.5,13.2,8.38,0.525,10.4,0.875,1.58,44.5,67.3,10.1,2.26,1.69,81.3,15.7,2.48,2.91,7.19,3.58,0.878
WT 8 x 38.5,11.5,8.26,0.455,10.3,0.76,1.47,38.5,57,8.59,2.23,1.62,69.2,13.4,2.46,1.93,4.61,3.54,0.877
WT 8 x 33.5,9.98,8.16,0.395,10.2,0.665,1.37,33.5,48.7,7.36,2.21,1.55,59.5,11.6,2.44,1.31,3.01,3.51,0.88
WT 8 x 28.5,8.39,8.22,0.43,7.12,0.715,1.12,28.5,48.7,7.77,2.41,1.94,21.6,6.06,1.6,1.1,1.99,3.3,0.77
WT 8 x 25,7.37,8.13,0.38,7.07,0.63,1.03,25,42.3,6.78,2.4,1.89,18.6,5.26,1.59,0.76,1.34,3.28,0.769
WT 8 x 22.5,6.63,8.07,0.345,7.04,0.565,0.967,22.5,37.8,6.1,2.39,1.86,16.4,4.67,1.57,0.555,0.974,3.27,0.767
WT 8 x 20,5.89,8.01,0.305,7,0.505,0.907,20,33.1,5.35,2.37,1.81,14.4,4.12,1.56,0.396,0.673,3.24,0.769
WT 8 x 18,5.29,7.93,0.295,6.99,0.43,0.832,18,30.6,5.05,2.41,1.88,12.2,3.5,1.52,0.272,0.516,3.3,0.745
WT 8 x 15.5,4.56,7.94,0.275,5.53,0.44,0.842,15.5,27.5,4.64,2.45,2.02,6.2,2.24,1.17,0.23,0.366,3.26,0.695
WT 8 x 13,3.84,7.85,0.25,5.5,0.345,0.747,13,23.5,4.09,2.47,2.09,4.79,1.74,1.12,0.13,0.243,3.32,0.666
WT 7 x 404,119,11.4,3.74,18.6,5.12,5.72,404,901,117,2.76,3.7,2760,297,4.82,897,6970,5.66,0.959
WT 7 x 365,107,11.2,3.07,17.9,4.91,5.51,365,739,95.4,2.62,3.47,2360,264,4.69,714,5250,5.48,0.966
WT 7 x 332.5,97.8,10.8,2.83,17.7,4.52,5.12,332.5,622,82.1,2.52,3.25,2080,236,4.62,555,3920,5.35,0.966
WT 7 x 302.5,88.9,10.5,2.6,17.4,4.16,4.76,302.5,524,70.6,2.43,3.05,1840,211,4.55,430,2930,5.25,0.966
WT 7 x 275,80.9,10.1,2.38,17.2,3.82,4.42,275,442,60.9,2.34,2.85,1630,189,4.49,331,2180,5.15,0.967
WT 7 x 250,73.5,9.8,2.19,17,3.5,4.1,250,375,52.7,2.26,2.67,1440,169,4.43,254,1620,5.05,0.967
WT 7 x 227.5,66.9,9.51,2.02,16.8,3.21,3.81,227.5,321,45.9,2.19,2.51,1280,152,4.38,196,1210,4.97,0.967
WT 7 x 213,62.6,9.34,1.88,16.7,3.04,3.63,213,287,41.4,2.14,2.4,1180,141,4.34,164,991,4.92,0.968
WT 7 x 199,58.5,9.15,1.77,16.6,2.85,3.44,199,257,37.6,2.1,2.3,1090,131,4.31,135,801,4.88,0.968
WT 7 x 185,54.4,8.96,1.66,16.5,2.66,3.26,185,229,33.9,2.05,2.19,994,121,4.27,110,640,4.82,0.968
WT 7 x 171,50.3,8.77,1.54,16.4,2.47,3.07,171,203,30.4,2.01,2.09,903,110,4.24,88.3,502,4.77,0.968
